Ref,EWTS Varient,Area,Task,Status,Completed,Delta,Escalated,Avg_col
EAMalawiMDRMW021,ea,coordination,review/adapt membership coordination for the context for this specific emergency ,Not Achieved,-,-365,,0.6
EAMalawiMDRMW021,ea,coordination,Appropriate membership coordination is in place after 24h of disaster,Not Achieved,-,-365,,0.8
EAMozambiqueMDRMZ026,ea,coordination,Hold a Mini Summit within 48 h of the disaster,Not Achieved,-,-365,,0.25
EAMozambiqueMDRMZ026,ea,coordination,The Movement Joint statement is produced 48h after the Mini Summit,Not Achieved,-,-365,,0.0
EAMozambiqueMDRMZ026,ea,coordination,review/adapt membership coordination for the context for this specific emergency ,Achieved Late,2025-02-15 00:00:00,-55,,0.6
EAMozambiqueMDRMZ026,ea,coordination,Appropriate membership coordination is in place after 24h of disaster,Achieved Late,2025-02-15 00:00:00,-60,,0.8
EAComorosMDRKM013,ea,coordination,Hold a Mini Summit within 48 h of the disaster,DNU,-,,,0.25
EAComorosMDRKM013,ea,coordination,The Movement Joint statement is produced 48h after the Mini Summit,Not Achieved,-,-365,,0.0
EAComorosMDRKM013,ea,coordination,review/adapt membership coordination for the context for this specific emergency ,Achieved Late,2025-03-15 00:00:00,-83,,0.6
EAComorosMDRKM013,ea,coordination,Appropriate membership coordination is in place after 24h of disaster,Achieved Late,2025-03-15 00:00:00,-88,,0.8
EAMadagascarMDRMG023,ea,coordination,Hold a Mini Summit within 48 h of the disaster,DNU,-,,,0.25
EAMadagascarMDRMG023,ea,coordination,The Movement Joint statement is produced 48h after the Mini Summit,DNU,-,,,0.0
EAMadagascarMDRMG023,ea,coordination,review/adapt membership coordination for the context for this specific emergency ,DNU,-,,,0.6
EAMadagascarMDRMG023,ea,coordination,Appropriate membership coordination is in place after 24h of disaster,Achieved Early,2024-12-16 00:00:00,1,,0.8
EAVanuatuMDRVU012,ea,financial_management,Project Funding Agreements (PFA) signed by the NS and the IFRC no longer than 7 days from the DREF/EA approval,Not Achieved,-,-365,Not Escalated,0.6666666666666666
EAVanuatuMDRVU012,ea,financial_management,"After PFA  is signed by both parties, HoD/project manager to process the Request for Payment to be sent to Treasury within 10 days of DREF/ EA approval",Not Achieved,-,-365,Not Escalated,0.6666666666666666
EAVanuatuMDRVU012,ea,financial_management,Bank transfer process by IFRC to the NS within 24h after the request for payment is received/approved,Not Achieved,-,-365,Not Escalated,1.0
EAVanuatuMDRVU012,ea,financial_management,Confirmation from the NSs of the funds received to be obtained within 3 working days from the value date of the transfer,Not Achieved,-,-365,Not Escalated,1.0
EAUgandaMDRUG055,ea,financial_management,Project Funding Agreements (PFA) signed by the NS and the IFRC no longer than 7 days from the DREF/EA approval,Achieved Early,2025-02-11 00:00:00,17,Not Escalated,0.6666666666666666
EAUgandaMDRUG055,ea,financial_management,"After PFA  is signed by both parties, HoD/project manager to process the Request for Payment to be sent to Treasury within 10 days of DREF/ EA approval",Achieved Early,2025-02-17 00:00:00,14,Not Escalated,0.6666666666666666
EAUgandaMDRUG055,ea,financial_management,Bank transfer process by IFRC to the NS within 24h after the request for payment is received/approved,Achieved Early,2025-02-17 00:00:00,16,Not Escalated,1.0
EAUgandaMDRUG055,ea,financial_management,Confirmation from the NSs of the funds received to be obtained within 3 working days from the value date of the transfer,Achieved Early,2025-02-28 00:00:00,9,Not Escalated,1.0
EAMalawiMDRMW021,ea,financial_management,Project Funding Agreements (PFA) signed by the NS and the IFRC no longer than 7 days from the DREF/EA approval,Not Achieved,-,-365,,0.6666666666666666
EAMalawiMDRMW021,ea,financial_management,"After PFA  is signed by both parties, HoD/project manager to process the Request for Payment to be sent to Treasury within 10 days of DREF/ EA approval",Not Achieved,-,-365,,0.6666666666666666
EAMalawiMDRMW021,ea,financial_management,Bank transfer process by IFRC to the NS within 24h after the request for payment is received/approved,Not Achieved,-,-365,,1.0
EAMalawiMDRMW021,ea,financial_management,Confirmation from the NSs of the funds received to be obtained within 3 working days from the value date of the transfer,Not Achieved,-,-365,,1.0
EAMozambiqueMDRMZ026,ea,financial_management,Project Funding Agreements (PFA) signed by the NS and the IFRC no longer than 7 days from the DREF/EA approval,Not Achieved,-,-365,,0.6666666666666666
EAMozambiqueMDRMZ026,ea,financial_management,"After PFA  is signed by both parties, HoD/project manager to process the Request for Payment to be sent to Treasury within 10 days of DREF/ EA approval",Not Achieved,-,-365,,0.6666666666666666
EAMozambiqueMDRMZ026,ea,financial_management,Bank transfer process by IFRC to the NS within 24h after the request for payment is received/approved,Not Achieved,-,-365,,1.0
EAMozambiqueMDRMZ026,ea,financial_management,Confirmation from the NSs of the funds received to be obtained within 3 working days from the value date of the transfer,Not Achieved,-,-365,,1.0
EAComorosMDRKM013,ea,financial_management,Project Funding Agreements (PFA) signed by the NS and the IFRC no longer than 7 days from the DREF/EA approval,Achieved Late,2025-02-15 00:00:00,-51,,0.6666666666666666
EAComorosMDRKM013,ea,financial_management,"After PFA  is signed by both parties, HoD/project manager to process the Request for Payment to be sent to Treasury within 10 days of DREF/ EA approval",Achieved Late,2025-03-15 00:00:00,-76,,0.6666666666666666
EAComorosMDRKM013,ea,financial_management,Bank transfer process by IFRC to the NS within 24h after the request for payment is received/approved,Not Achieved,-,-365,,1.0
EAComorosMDRKM013,ea,financial_management,Confirmation from the NSs of the funds received to be obtained within 3 working days from the value date of the transfer,Not Achieved,-,-365,,1.0
EAMadagascarMDRMG023,ea,financial_management,Project Funding Agreements (PFA) signed by the NS and the IFRC no longer than 7 days from the DREF/EA approval,Achieved Late,2025-02-15 00:00:00,-51,,0.6666666666666666
EAMadagascarMDRMG023,ea,financial_management,"After PFA  is signed by both parties, HoD/project manager to process the Request for Payment to be sent to Treasury within 10 days of DREF/ EA approval",Achieved Late,2025-03-15 00:00:00,-76,,0.6666666666666666
EAMadagascarMDRMG023,ea,financial_management,Bank transfer process by IFRC to the NS within 24h after the request for payment is received/approved,Not Achieved,-,-365,,1.0
EAMadagascarMDRMG023,ea,financial_management,Confirmation from the NSs of the funds received to be obtained within 3 working days from the value date of the transfer,Not Achieved,-,-365,,1.0
EAVanuatuMDRVU012,ea,hr_planning_and_recruitement,"Key initial longer-term positions identified by operational leadership and requested via submission in the HR system, one week after the EA publication",Achieved Late,2025-01-17 00:00:00,-20,Not Escalated,0.25
EAVanuatuMDRVU012,ea,hr_planning_and_recruitement,"Once approved in the HR system and pre-classified JD provided, HR advertises key initial longer-term positions within 48 hours.",Not Achieved,-,-365,Not Escalated,0.25
EAUgandaMDRUG055,ea,hr_planning_and_recruitement,"Key initial longer-term positions identified by operational leadership and requested via submission in the HR system, one week after the EA publication",Not Achieved,-,-365,Not Escalated,0.25
EAUgandaMDRUG055,ea,hr_planning_and_recruitement,"Once approved in the HR system and pre-classified JD provided, HR advertises key initial longer-term positions within 48 hours.",Not Achieved,-,-365,Not Escalated,0.25
EAMalawiMDRMW021,ea,hr_planning_and_recruitement,"Key initial longer-term positions identified by operational leadership and requested via submission in the HR system, one week after the EA publication",Not Achieved,-,-365,,0.25
EAMalawiMDRMW021,ea,hr_planning_and_recruitement,"Once approved in the HR system and pre-classified JD provided, HR advertises key initial longer-term positions within 48 hours.",Not Achieved,-,-365,,0.25
EAMozambiqueMDRMZ026,ea,hr_planning_and_recruitement,"Key initial longer-term positions identified by operational leadership and requested via submission in the HR system, one week after the EA publication",Not Achieved,-,-365,,0.25
EAMozambiqueMDRMZ026,ea,hr_planning_and_recruitement,"Once approved in the HR system and pre-classified JD provided, HR advertises key initial longer-term positions within 48 hours.",Not Achieved,-,-365,,0.25
EAComorosMDRKM013,ea,hr_planning_and_recruitement,"Key initial longer-term positions identified by operational leadership and requested via submission in the HR system, one week after the EA publication",Not Achieved,-,-365,,0.25
EAComorosMDRKM013,ea,hr_planning_and_recruitement,"Once approved in the HR system and pre-classified JD provided, HR advertises key initial longer-term positions within 48 hours.",Achieved Late,2025-02-15 00:00:00,-49,,0.25
EAMadagascarMDRMG023,ea,hr_planning_and_recruitement,"Key initial longer-term positions identified by operational leadership and requested via submission in the HR system, one week after the EA publication",DNU,-,,,0.25
EAMadagascarMDRMG023,ea,hr_planning_and_recruitement,"Once approved in the HR system and pre-classified JD provided, HR advertises key initial longer-term positions within 48 hours.",DNU,-,,,0.25
EAVanuatuMDRVU012,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (24h),Missing,-,,Not Escalated,0.16666666666666666
EAVanuatuMDRVU012,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (72h),Missing,-,,Not Escalated,0.16666666666666666
EAVanuatuMDRVU012,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (1 week),Missing,-,,Not Escalated,0.0
EAVanuatuMDRVU012,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (2 weeks),Missing,-,,Not Escalated,0.0
EAVanuatuMDRVU012,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (1 month),Missing,-,,Not Escalated,0.0
EAUgandaMDRUG055,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (24h),Missing,-,,Not Escalated,0.16666666666666666
EAUgandaMDRUG055,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (72h),Missing,-,,Not Escalated,0.16666666666666666
EAUgandaMDRUG055,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (1 week),Missing,-,,Not Escalated,0.0
EAUgandaMDRUG055,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (2 weeks),Missing,-,,Not Escalated,0.0
EAUgandaMDRUG055,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (1 month),Missing,-,,Not Escalated,0.0
EAMalawiMDRMW021,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (24h),Achieved,2025-01-15 00:00:00,,,0.16666666666666666
EAMalawiMDRMW021,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (72h),Achieved,2025-01-15 00:00:00,,,0.16666666666666666
EAMalawiMDRMW021,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (1 week),Missing,-,,,0.0
EAMalawiMDRMW021,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (2 weeks),Missing,-,,,0.0
EAMalawiMDRMW021,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (1 month),Missing,-,,,0.0
EAMozambiqueMDRMZ026,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (24h),Missing,-,,,0.16666666666666666
EAMozambiqueMDRMZ026,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (72h),Missing,-,,,0.16666666666666666
EAMozambiqueMDRMZ026,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (1 week),Missing,-,,,0.0
EAMozambiqueMDRMZ026,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (2 weeks),Missing,-,,,0.0
EAMozambiqueMDRMZ026,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (1 month),Missing,-,,,0.0
EAComorosMDRKM013,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (24h),Missing,-,,,0.16666666666666666
EAComorosMDRKM013,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (72h),Missing,-,,,0.16666666666666666
EAComorosMDRKM013,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (1 week),Missing,-,,,0.0
EAComorosMDRKM013,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (2 weeks),Missing,-,,,0.0
EAComorosMDRKM013,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (1 month),Missing,-,,,0.0
EAMadagascarMDRMG023,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (24h),DNU,-,,,0.16666666666666666
EAMadagascarMDRMG023,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (72h),DNU,-,,,0.16666666666666666
EAMadagascarMDRMG023,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (1 week),DNU,-,,,0.0
EAMadagascarMDRMG023,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (2 weeks),DNU,-,,,0.0
EAMadagascarMDRMG023,ea,information_management,IM Snapshot is in place and updated timely to display the situation and the activities being implemented (1 month),DNU,-,,,0.0
EAVanuatuMDRVU012,ea,planning_and_resource_mobilization,Disaster Brief done to inform the FAD between 48-72 h,Achieved Late,2024-12-18 00:00:00,-1,Not Escalated,0.5
EAVanuatuMDRVU012,ea,planning_and_resource_mobilization,Approval of decision for DREF operation escalation to EA (disaster trigger date),DNU,-,,,0.3333333333333333
EAVanuatuMDRVU012,ea,planning_and_resource_mobilization,EA is launched within 24 hours after the FAD has been approved (or within 48 hours after field report was published). ,Achieved Early,2024-12-20 00:00:00,1,Not Escalated,0.6666666666666666
EAVanuatuMDRVU012,ea,planning_and_resource_mobilization,Operational Strategy validated 7 days after the EA ,Achieved Late,2025-01-12 00:00:00,-15,Not Escalated,0.25
EAVanuatuMDRVU012,ea,planning_and_resource_mobilization,A resource mobilization plan is developed and approved within 2 weeks of the EA,Achieved Late,2025-01-17 00:00:00,-13,Not Escalated,0.25
EAUgandaMDRUG055,ea,planning_and_resource_mobilization,Disaster Brief done to inform the FAD between 48-72 h,Achieved Early,2025-02-12 00:00:00,5,Not Escalated,0.5
EAUgandaMDRUG055,ea,planning_and_resource_mobilization,Approval of decision for DREF operation escalation to EA (disaster trigger date),Achieved Early,2025-02-17 00:00:00,3,,0.3333333333333333
EAUgandaMDRUG055,ea,planning_and_resource_mobilization,EA is launched within 24 hours after the FAD has been approved (or within 48 hours after field report was published). ,Achieved Early,2025-02-17 00:00:00,4,Not Escalated,0.6666666666666666
EAUgandaMDRUG055,ea,planning_and_resource_mobilization,Operational Strategy validated 7 days after the EA ,Not Achieved,-,-365,Not Escalated,0.25
EAUgandaMDRUG055,ea,planning_and_resource_mobilization,A resource mobilization plan is developed and approved within 2 weeks of the EA,Not Achieved,-,-365,Not Escalated,0.25
EAMalawiMDRMW021,ea,planning_and_resource_mobilization,Disaster Brief done to inform the FAD between 48-72 h,Not Achieved,-,-365,,0.5
EAMalawiMDRMW021,ea,planning_and_resource_mobilization,Approval of decision for DREF operation escalation to EA (disaster trigger date),Not Achieved,-,-365,,0.3333333333333333
EAMalawiMDRMW021,ea,planning_and_resource_mobilization,EA is launched within 24 hours after the FAD has been approved (or within 48 hours after field report was published). ,Not Achieved,-,-365,,0.6666666666666666
EAMalawiMDRMW021,ea,planning_and_resource_mobilization,Operational Strategy validated 7 days after the EA ,Not Achieved,-,-365,,0.25
EAMalawiMDRMW021,ea,planning_and_resource_mobilization,A resource mobilization plan is developed and approved within 2 weeks of the EA,Not Achieved,-,-365,,0.25
EAMozambiqueMDRMZ026,ea,planning_and_resource_mobilization,Disaster Brief done to inform the FAD between 48-72 h,Not Achieved,-,-365,,0.5
EAMozambiqueMDRMZ026,ea,planning_and_resource_mobilization,Approval of decision for DREF operation escalation to EA (disaster trigger date),Not Achieved,-,-365,,0.3333333333333333
EAMozambiqueMDRMZ026,ea,planning_and_resource_mobilization,EA is launched within 24 hours after the FAD has been approved (or within 48 hours after field report was published). ,Not Achieved,-,-365,,0.6666666666666666
EAMozambiqueMDRMZ026,ea,planning_and_resource_mobilization,Operational Strategy validated 7 days after the EA ,Not Achieved,-,-365,,0.25
EAMozambiqueMDRMZ026,ea,planning_and_resource_mobilization,A resource mobilization plan is developed and approved within 2 weeks of the EA,Not Achieved,-,-365,,0.25
EAComorosMDRKM013,ea,planning_and_resource_mobilization,Disaster Brief done to inform the FAD between 48-72 h,Not Achieved,-,-365,,0.5
EAComorosMDRKM013,ea,planning_and_resource_mobilization,Approval of decision for DREF operation escalation to EA (disaster trigger date),Not Achieved,-,-365,,0.3333333333333333
EAComorosMDRKM013,ea,planning_and_resource_mobilization,EA is launched within 24 hours after the FAD has been approved (or within 48 hours after field report was published). ,Not Achieved,-,-365,,0.6666666666666666
EAComorosMDRKM013,ea,planning_and_resource_mobilization,Operational Strategy validated 7 days after the EA ,Not Achieved,-,-365,,0.25
EAComorosMDRKM013,ea,planning_and_resource_mobilization,A resource mobilization plan is developed and approved within 2 weeks of the EA,Not Achieved,-,-365,,0.25
EAMadagascarMDRMG023,ea,planning_and_resource_mobilization,Disaster Brief done to inform the FAD between 48-72 h,DNU,-,,,0.5
EAMadagascarMDRMG023,ea,planning_and_resource_mobilization,Approval of decision for DREF operation escalation to EA (disaster trigger date),DNU,-,,,0.3333333333333333
EAMadagascarMDRMG023,ea,planning_and_resource_mobilization,EA is launched within 24 hours after the FAD has been approved (or within 48 hours after field report was published). ,DNU,-,,,0.6666666666666666
EAMadagascarMDRMG023,ea,planning_and_resource_mobilization,Operational Strategy validated 7 days after the EA ,DNU,-,,,0.25
EAMadagascarMDRMG023,ea,planning_and_resource_mobilization,A resource mobilization plan is developed and approved within 2 weeks of the EA,DNU,-,,,0.25
EAVanuatuMDRVU012,ea,procurement_and_logistics,Supply chain plan developed between logs and ops coordinator within 1 week of the approved EA,Achieved Early,2024-12-18 00:00:00,6,Not Escalated,0.5
EAVanuatuMDRVU012,ea,procurement_and_logistics,Fully approved and submitted requisitions for NFIs within 1 week of the EA (when relevant) ,Achieved Early,2024-12-18 00:00:00,10,Not Escalated,0.5
EAVanuatuMDRVU012,ea,procurement_and_logistics,NFI (or emergencies items) being delivered to the country in 3 days since the approval of the  Requistion,Achieved Early,2024-12-20 00:00:00,11,Not Escalated,0.5
EAUgandaMDRUG055,ea,procurement_and_logistics,Supply chain plan developed between logs and ops coordinator within 1 week of the approved EA,Not Achieved,-,-365,Not Escalated,0.5
EAUgandaMDRUG055,ea,procurement_and_logistics,Fully approved and submitted requisitions for NFIs within 1 week of the EA (when relevant) ,Not Achieved,-,-365,Not Escalated,0.5
EAUgandaMDRUG055,ea,procurement_and_logistics,NFI (or emergencies items) being delivered to the country in 3 days since the approval of the  Requistion,Not Achieved,-,-365,Not Escalated,0.5
EAMalawiMDRMW021,ea,procurement_and_logistics,Supply chain plan developed between logs and ops coordinator within 1 week of the approved EA,Not Achieved,-,-365,,0.5
EAMalawiMDRMW021,ea,procurement_and_logistics,Fully approved and submitted requisitions for NFIs within 1 week of the EA (when relevant) ,Not Achieved,-,-365,,0.5
EAMalawiMDRMW021,ea,procurement_and_logistics,NFI (or emergencies items) being delivered to the country in 3 days since the approval of the  Requistion,Not Achieved,-,-365,,0.5
EAMozambiqueMDRMZ026,ea,procurement_and_logistics,Supply chain plan developed between logs and ops coordinator within 1 week of the approved EA,Achieved Late,2025-02-15 00:00:00,-55,,0.5
EAMozambiqueMDRMZ026,ea,procurement_and_logistics,Fully approved and submitted requisitions for NFIs within 1 week of the EA (when relevant) ,Achieved Late,2025-03-15 00:00:00,-79,,0.5
EAMozambiqueMDRMZ026,ea,procurement_and_logistics,NFI (or emergencies items) being delivered to the country in 3 days since the approval of the  Requistion,Achieved Late,2025-01-15 00:00:00,-17,,0.5
EAComorosMDRKM013,ea,procurement_and_logistics,Supply chain plan developed between logs and ops coordinator within 1 week of the approved EA,Achieved Late,2025-02-15 00:00:00,-55,,0.5
EAComorosMDRKM013,ea,procurement_and_logistics,Fully approved and submitted requisitions for NFIs within 1 week of the EA (when relevant) ,Achieved Late,2025-03-15 00:00:00,-79,,0.5
EAComorosMDRKM013,ea,procurement_and_logistics,NFI (or emergencies items) being delivered to the country in 3 days since the approval of the  Requistion,Not Achieved,-,-365,,0.5
EAMadagascarMDRMG023,ea,procurement_and_logistics,Supply chain plan developed between logs and ops coordinator within 1 week of the approved EA,DNU,-,,,0.5
EAMadagascarMDRMG023,ea,procurement_and_logistics,Fully approved and submitted requisitions for NFIs within 1 week of the EA (when relevant) ,DNU,-,,,0.5
EAMadagascarMDRMG023,ea,procurement_and_logistics,NFI (or emergencies items) being delivered to the country in 3 days since the approval of the  Requistion,DNU,-,,,0.5
EAVanuatuMDRVU012,ea,surge,IFRC having the green light from the receiving NS to deploy RR 24h after the disaster,Achieved Early,2024-12-17 00:00:00,1,Not Escalated,0.5
EAVanuatuMDRVU012,ea,surge,RR personnel Alert sent within 12h of the request ,Achieved Early,2024-12-17 00:00:00,2,Not Escalated,0.5
EAVanuatuMDRVU012,ea,surge,Identification of 1st RR personnel within 48h of the 1st alert ,Achieved Early,2024-12-19 00:00:00,1,Not Escalated,0.5
EAUgandaMDRUG055,ea,surge,IFRC having the green light from the receiving NS to deploy RR 24h after the disaster,Not Achieved,-,-365,Not Escalated,0.5
EAUgandaMDRUG055,ea,surge,RR personnel Alert sent within 12h of the request ,Achieved Late,2025-03-03 00:00:00,-12,Not Escalated,0.5
EAUgandaMDRUG055,ea,surge,Identification of 1st RR personnel within 48h of the 1st alert ,Achieved Late,2025-03-03 00:00:00,-11,Not Escalated,0.5
EAMalawiMDRMW021,ea,surge,IFRC having the green light from the receiving NS to deploy RR 24h after the disaster,Not Achieved,-,-365,,0.5
EAMalawiMDRMW021,ea,surge,RR personnel Alert sent within 12h of the request ,Not Achieved,-,-365,,0.5
EAMalawiMDRMW021,ea,surge,Identification of 1st RR personnel within 48h of the 1st alert ,Not Achieved,-,-365,,0.5
EAMozambiqueMDRMZ026,ea,surge,IFRC having the green light from the receiving NS to deploy RR 24h after the disaster,Not Achieved,-,-365,,0.5
EAMozambiqueMDRMZ026,ea,surge,RR personnel Alert sent within 12h of the request ,Not Achieved,-,-365,,0.5
EAMozambiqueMDRMZ026,ea,surge,Identification of 1st RR personnel within 48h of the 1st alert ,Not Achieved,-,-365,,0.5
EAComorosMDRKM013,ea,surge,IFRC having the green light from the receiving NS to deploy RR 24h after the disaster,Not Achieved,-,-365,,0.5
EAComorosMDRKM013,ea,surge,RR personnel Alert sent within 12h of the request ,Not Achieved,-,-365,,0.5
EAComorosMDRKM013,ea,surge,Identification of 1st RR personnel within 48h of the 1st alert ,Not Achieved,-,-365,,0.5
EAMadagascarMDRMG023,ea,surge,IFRC having the green light from the receiving NS to deploy RR 24h after the disaster,DNU,-,,,0.5
EAMadagascarMDRMG023,ea,surge,RR personnel Alert sent within 12h of the request ,DNU,-,,,0.5
EAMadagascarMDRMG023,ea,surge,Identification of 1st RR personnel within 48h of the 1st alert ,DNU,-,,,0.5
DREFMozambiqueMDRMZ026,dref,assessment,Initial needs assessments completed within 72 hours​ of the event.,Not Achieved,-,-365,Not Escalated,
DREFMozambiqueMDRMZ026,dref,financial_management,Project funding agreements (PFAs) signed by the NS and the IFRC no longer than 7 days from the DREF approval,Not Achieved,-,-365,Not Escalated,
DREFMozambiqueMDRMZ026,dref,financial_management,"After PFA is signed by both parties, HoD/project manager to process the Request for Payment to be sent to Treasury within 10 days of DREF approval",Not Achieved,-,-365,Not Escalated,
DREFMozambiqueMDRMZ026,dref,financial_management,Bank transfer process by IFRC to the NS within 24h after the request for payment is received/approved,Not Achieved,-,-365,Not Escalated,
DREFMozambiqueMDRMZ026,dref,financial_management,Confirmation from the NSs of the funds received to be obtained within 3 working days from the value date of the transfer,Not Achieved,-,-365,Not Escalated,
DREFMozambiqueMDRMZ026,dref,planning_and_resource_mobilization,DREF approved within 10 days of the trigger. 14 if the NS has started responding.,Achieved Early,2024-12-17,8,Not Escalated,1.0
DREFMozambiqueMDRMZ026,dref,planning_and_resource_mobilization,Approval by the DREF appeal manager within 24h of receiving the final package,Achieved Early,2024-12-17,12,Not Escalated,1.0
DREFMozambiqueMDRMZ026,dref,procurement_and_logistics,Supply chain plan developed within 1 week of DREF approval,Achieved Early,2024-12-16,18,Not Escalated,1.0
DREFMozambiqueMDRMZ026,dref,procurement_and_logistics,NFI (or emergencies items) being delivered to the country in 3 days since the Requistion,Not Achieved,-,-365,Not Escalated,
DREFMozambiqueMDRMZ026,dref,programme_delivery,First round of payment received to the target beneficiaries four weeks after the DREF approval - 1 Month (Date),Not Achieved,-,-365,Not Escalated,
DREFMozambiqueMDRMZ026,dref,risk_and_accountability,Risk management one pager using country risk the dashboard developed within 48h after the approval,Achieved Early,2024-12-18,9,Not Escalated,1.0
DREFMozambiqueMDRMZ026,dref,risk_and_accountability,Project manager and appeal manager responsibilities one pager is shared with approval (max 14 days after trigger),Achieved Early,2024-12-18,11,Not Escalated,1.0
DREFMozambiqueMDRMZ026,dref,surge,IFRC having the green light from the receiving NS to deploy RR 24h after the disaster (if relevant),Achieved Early,2024-12-15,1,Not Escalated,1.0
DREFMozambiqueMDRMZ026,dref,surge,RR personnel Alert sent within 12h of the request ,Achieved Early,2024-12-15,2,Not Escalated,1.0
DREFMozambiqueMDRMZ026,dref,surge,Identification of 1st RR personnel within 48h of the 1st alert ,Achieved Early,2024-12-18,0,Not Escalated,1.0
MCMRMDRS1005,mcmr,coordination,Establish a Multi country coordination mechanimsms with the membership for the crisis,Not Achieved,-,-365,Not Escalated,
MCMRMDRS1005,mcmr,financial_management,A breakdown of the Financial allocation per country is made within 5 days of the approval of the EA,Not Achieved,-,-365,Not Escalated,
MCMRMDRS1005,mcmr,financial_management,Transferts to NS & IFRC Sec. Structure are made within 5 days of the allocation table,Not Achieved,-,-365,Not Escalated,
MCMRMDRS1005,mcmr,hr_planning_and_recruitement,"Key initial longer-term positions (for the Regional/multi country level) identified by operational leadership and requested via submission in the HR system, one week after the EA publication",Not Achieved,-,-365,Not Escalated,
